Shiftno,Serial,Version,PortRoute2,Baseport,PRouteLatDeg,PRouteLonEW,DVLineName,DVPortName
1014,4.10148840028e+11,10a,311,Birmingham Main,52,W,DK  Don't know airline,
1230,4.12300000003e+11,10a,121,Heathrow T2,55,W,DK  Don't know airline,Dont Know Airport
1254,4.12548696081e+11,10a,131,Heathrow T3,55,W,DK  Don't know airline,Dont Know Airport
1257,4.12570000037e+11,10a,131,Heathrow T3,55,W,Don't know airline,NBO       Nairobi  Kenya
1257,4.12578835056e+11,10a,131,Heathrow T3,55,W,Don't know airline,JFK       New  York (JFK)  USA
1264,4.12648049003e+11,10a,131,Heathrow T3,55,W,DK  Don't know airline,Dont Know Airport
1282,4.12820000034e+11,10a,141,Heathrow T4,55,W,DK  Don't know airline,Dont Know Airport
1300,4.13008049006e+11,10a,142,Heathrow T4 PH,55,W,Don't know airline,Dont Know Airport
1310,4.13100000013e+11,10a,153,Heathrow T5 Mig,55,W,DK  Don't know airline,Dont Know Airport
1356,4.13560000006e+11,10a,165,Heathrow Inter - T5,55,W,Don't know airline,Dont Know Airport
1428,4.14280000122e+11,10a,211,Manchester T1,55,W,DK  Don't know airline,LIS       Lisbon  Portugal
1287,4.12878900064e+11,10a,141,Heathrow T4,55,W,JU   JAT Airways  Yugoslavia,BEG       Belgrade  Serbia
1287,4.12878393067e+11,10a,141,Heathrow T4,55,W,JU   JAT Airways  Yugoslavia,BEG       Belgrade  Serbia
1289,4.12898757067e+11,10a,141,Heathrow T4,55,W,JU   JAT Airways  Yugoslavia,BEG       Belgrade  Serbia
1290,4.12908868034e+11,10a,141,Heathrow T4,55,W,JU   JAT Airways  Yugoslavia,BEG       Belgrade  Serbia
1301,4.13018868046e+11,10a,142,Heathrow T4 PH,55,W,JU   JAT Airways  Yugoslavia,BEG       Belgrade  Serbia
1306,4.13068725044e+11,10a,142,Heathrow T4 PH,55,W,JU   JAT Airways  Yugoslavia,BEG       Belgrade  Serbia
1101,4.11018888016e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1103,4.11038904003e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1103,4.11030000057e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1103,4.11030000079e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1104,4.1104865907e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1105,4.11058883045e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1105,4.11050000058e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1108,4.11088829009e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1108,4.11088723044e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1109,4.11098723001e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1110,4.11108764053e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1111,4.11118911012e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1111,4.1111890407e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1111,4.11118764097e+11,10a,181,Gatwick South,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1421,4.14210000073e+11,10a,211,Manchester T1,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1424,4.14248889109e+11,10a,211,Manchester T1,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1562,4.15628736177e+11,10a,201,Stansted East,55,W,GR  Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1590,4.15904535062e+11,10a,481,Southampton,55,W,GR  Aurigny Air Svs (Dump),ACI        Alderney C Isles
1590,4.15903316073e+11,10a,481,Southampton,55,W,GR  Aurigny Air Svs (Dump),ACI        Alderney C Isles
1591,4.1591841502e+11,10a,481,Southampton,55,W,GR  Aurigny Air Svs (Dump),ACI        Alderney C Isles
1591,4.15918714027e+11,10a,481,Southampton,55,W,GR  Aurigny Air Svs (Dump),ACI        Alderney C Isles
1604,4.16048865019e+11,10a,351,Bristol,51,W,AUR Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1604,4.16048866025e+11,10a,351,Bristol,51,W,AUR Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1604,4.1604848403e+11,10a,351,Bristol,51,W,AUR Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1613,4.16138484029e+11,10a,351,Bristol,51,W,AUR Aurigny Air Svs (Dump),GCI      Guernsey Channel Islands
1001,4.10019954001e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1001,4.10019954002e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1001,4.1001992601e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1001,4.10019955011e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1001,4.10019955013e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1001,4.10019926015e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,FAO       Faro  Portugal
1001,4.10019955018e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1001,4.10019955019e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1001,4.10019955024e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,FAO       Faro  Portugal
1001,4.10011607045e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1001,4.10011607046e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1001,4.10019635053e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,FAO       Faro  Portugal
1001,4.10019635054e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,FAO       Faro  Portugal
1001,4.10019635056e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1001,4.10019635057e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1001,4.10019954077e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1004,4.10041607003e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1004,4.10041607004e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,PMI       Palma De Mallorca  Balearic Is
1004,4.10049406006e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,PMI       Palma De Mallorca  Balearic Is
1004,4.10049406007e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,PMI       Palma De Mallorca  Balearic Is
1004,4.10049406008e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1004,4.10049406009e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1004,4.10049535012e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1004,4.10049406013e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1004,4.10041607014e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1004,4.10049535016e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,PMI       Palma De Mallorca  Balearic Is
1004,4.10049635041e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1004,4.10049635042e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1004,4.10049955062e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,PMI       Palma De Mallorca  Balearic Is
1004,4.10049535078e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1004,4.10041607147e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1004,4.10049955148e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1004,4.10049535151e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1004,4.10049535152e+11,10a,341,Belfast,54,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1010,4.10108777047e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1010,4.10108801048e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1010,4.1010885605e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1011,4.10118801048e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1011,4.1011000005e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1011,4.10118840055e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1011,4.10118840058e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,PMI       Palma De Mallorca  Balearic Is
1011,4.10118856059e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,PMI       Palma De Mallorca  Balearic Is
1013,4.10138331001e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1013,4.10138856001e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1013,4.10138777014e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1013,4.10138856015e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1013,4.10138331016e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,PMI       Palma De Mallorca  Balearic Is
1013,4.10138777016e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1013,4.10138856016e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,FAO       Faro  Portugal
1013,4.10138777019e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,FAO       Faro  Portugal
1013,4.10138801025e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,FAO       Faro  Portugal
1013,4.10138777026e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,FAO       Faro  Portugal
1013,4.10138331031e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1013,4.10138801062e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1013,4.10138331064e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1013,4.10138801065e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1013,4.10138777086e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,RHO      Rhodes  Greece
1013,4.10138777091e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1014,4.10148777001e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1014,4.10148310002e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,ACE       Lanzarote/Arrecife  Canary Is
1014,4.10148331004e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1014,4.10148777004e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1014,4.10148801004e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1014,4.10148310005e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1014,4.10148841005e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,ACE       Lanzarote/Arrecife  Canary Is
1014,4.1014831001e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1014,4.10148777014e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
