Shiftno,Serial,Version,PortRoute2,Baseport,PRouteLatDeg,PRouteLonEW,DVLineName,DVPortName
1014,4.10148841023e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1015,4.10158310002e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,FAO       Faro  Portugal
1015,4.10158840004e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,HER        Heraklion Crete  Greece
1015,4.10158801006e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,HER        Heraklion Crete  Greece
1015,4.10158840007e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,HER        Heraklion Crete  Greece
1015,4.10158801013e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,HER        Heraklion Crete  Greece
1015,4.10158840013e+11,10a,311,Birmingham Main,52,W,LS  Jet2 Airlines,HER        Heraklion Crete  Greece
1030,4.10300000025e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,REU      Reus/Tarragona  Spain
1030,4.10308856027e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,REU      Reus/Tarragona  Spain
1030,4.10308777036e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,DBV       Dubrovnik  Croatia
1030,4.10300000037e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,DBV       Dubrovnik  Croatia
1030,4.10308856038e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,DBV       Dubrovnik  Croatia
1031,4.10318801002e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,FAO       Faro  Portugal
1031,4.10318777006e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,FAO       Faro  Portugal
1031,4.10310000028e+11,10a,371,East Midlands,52,W,EXS Jet2 Airlines,LPA       Gran Canaria/Las Palmas  Can I
1031,4.10318801029e+11,10a,371,East Midlands,52,W,EXS Jet2 Airlines,LPA       Gran Canaria/Las Palmas  Can I
1031,4.1031884103e+11,10a,371,East Midlands,52,W,EXS Jet2 Airlines,LPA       Gran Canaria/Las Palmas  Can I
1031,4.10318856031e+11,10a,371,East Midlands,52,W,EXS Jet2 Airlines,LPA       Gran Canaria/Las Palmas  Can I
1031,4.10318777032e+11,10a,371,East Midlands,52,W,EXS Jet2 Airlines,LPA       Gran Canaria/Las Palmas  Can I
1031,4.10318777033e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,RHO      Rhodes  Greece
1031,4.10318840034e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,RHO      Rhodes  Greece
1031,4.10318777035e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,RHO      Rhodes  Greece
1031,4.10318777038e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,PFO       Paphos  South Cyprus
1031,4.10318840043e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,LCA       Larnaca  South Cyprus
1031,4.10318856044e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,LCA       Larnaca  South Cyprus
1031,4.10318777045e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,LCA       Larnaca  South Cyprus
1031,4.10318801046e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,PFO       Paphos  South Cyprus
1031,4.10318840047e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,PFO       Paphos  South Cyprus
1031,4.10318777048e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,PFO       Paphos  South Cyprus
1031,4.10318841049e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,PFO       Paphos  South Cyprus
1032,4.10328801012e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1032,4.10328310013e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1032,4.10328777014e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,FAO       Faro  Portugal
1032,4.10320000042e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1032,4.10328777043e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1032,4.10328841044e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1032,4.10328841045e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,PMI       Palma De Mallorca  Balearic Is
1032,4.10328310046e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,PMI       Palma De Mallorca  Balearic Is
1033,4.10338777011e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1033,4.10338801012e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1033,4.10338841013e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1033,4.10338331022e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,LPA       Gran Canaria/Las Palmas  Can I
1033,4.10338310023e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,LPA       Gran Canaria/Las Palmas  Can I
1033,4.10338801024e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,LPA       Gran Canaria/Las Palmas  Can I
1033,4.10338841025e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,LPA       Gran Canaria/Las Palmas  Can I
1033,4.10338331026e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,LPA       Gran Canaria/Las Palmas  Can I
1033,4.10338777027e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1033,4.10338310028e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1033,4.10338801029e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1033,4.1033833103e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1033,4.10338331036e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1033,4.10338841037e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1033,4.10330000038e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1033,4.10338777039e+11,10a,371,East Midlands,52,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1070,4.10708847101e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1070,4.10708847102e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1070,4.10708847103e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1070,4.10708847105e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,FCO       Rome  (Fiumicino)  Italy
1070,4.10708847106e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,BCN       Barcelona  Spain
1070,4.10700000107e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,LEI        Almeria  Spain
1070,4.10708847111e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1070,4.10708847113e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,CDG       Paris (Charles de Gaulle) Fran
1070,4.10700000114e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1070,4.10700000115e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1070,4.10708847122e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,DUS       Dusseldorf  Germany
1070,4.10700000201e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1070,4.10708463202e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1070,4.10708463203e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1070,4.10708463204e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,DBV       Dubrovnik  Croatia
1070,4.10708463205e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1070,4.10708463206e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1070,4.10700000207e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1070,4.10708463209e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,FCO       Rome  (Fiumicino)  Italy
1070,4.1070846321e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,FCO       Rome  (Fiumicino)  Italy
1070,4.10708463211e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,BCN       Barcelona  Spain
1070,4.10708463212e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,LEI        Almeria  Spain
1070,4.10708463213e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,LEI        Almeria  Spain
1070,4.10708463224e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,DUS       Dusseldorf  Germany
1070,4.10708869302e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,DBV       Dubrovnik  Croatia
1070,4.10708869304e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,DBV       Dubrovnik  Croatia
1070,4.10708869306e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1070,4.10700000309e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,BCN       Barcelona  Spain
1070,4.1070886931e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,LEI        Almeria  Spain
1070,4.10708869315e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AMS       Amsterdam  Netherlands
1070,4.10708869316e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AMS       Amsterdam  Netherlands
1070,4.10708869317e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AMS       Amsterdam  Netherlands
1070,4.10708869319e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1070,4.10708869322e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,CDG       Paris (Charles de Gaulle) Fran
1070,4.10700000501e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,DBV       Dubrovnik  Croatia
1070,4.10708654502e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1070,4.10708654503e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,IBZ       Ibiza Balearic Islands
1070,4.10708654504e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,DBV       Dubrovnik  Croatia
1070,4.10708654505e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1070,4.1070865451e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,FCO       Rome  (Fiumicino)  Italy
1070,4.10708654511e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,FCO       Rome  (Fiumicino)  Italy
1070,4.10708654518e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AMS       Amsterdam  Netherlands
1070,4.10708654519e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1070,4.1070865452e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AMS       Amsterdam  Netherlands
1070,4.10708654521e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1070,4.10708654528e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,DUS       Dusseldorf  Germany
1070,4.10708827902e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1070,4.10708827908e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,FCO       Rome  (Fiumicino)  Italy
1070,4.10708827909e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,BCN       Barcelona  Spain
1070,4.1070000091e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,LEI        Almeria  Spain
1070,4.10708827912e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AMS       Amsterdam  Netherlands
1070,4.10708827913e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AMS       Amsterdam  Netherlands
1070,4.10700000919e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,CDG       Paris (Charles de Gaulle) Fran
1070,4.10708827925e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,DUS       Dusseldorf  Germany
1070,4.10708827926e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,DUS       Dusseldorf  Germany
1071,4.10718847101e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,HER        Heraklion Crete  Greece
1071,4.10718847102e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1071,4.10718847103e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ALC       Alicante  Spain
1071,4.10718847104e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,TFS       Reine Sofia/Tenerife  Canary I
1071,4.10718847105e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ACE       Lanzarote/Arrecife  Canary Is
1071,4.10718847106e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1071,4.10718847111e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AGP       Malaga  Spain
1071,4.10718847112e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ACE       Lanzarote/Arrecife  Canary Is
1071,4.10718847114e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1071,4.10718847116e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ACE       Lanzarote/Arrecife  Canary Is
1071,4.10718847118e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,FUE       Fuerteventura/etc  Canary Is
1071,4.10718847119e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ACE       Lanzarote/Arrecife  Canary Is
1071,4.1071884712e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,ACE       Lanzarote/Arrecife  Canary Is
1071,4.10718847122e+11,10a,401,Leeds/Bradford,55,W,LS  Jet2 Airlines,AGP       Malaga  Spain
